identifier,category,subcategory,notes,hide_in_spends
17-724,Outreach,Events/Conference Attendance & Side Events,,0
17-729,Outreach,Events/Conference Attendance & Side Events,,0
17-730,Outreach,Events/Conference Attendance & Side Events,,0
17-731,Outreach,Events/Conference Attendance & Side Events,,0
17-842,Outreach,Events/Conference Attendance & Side Events,,0
17-843,Outreach,Events/Conference Attendance & Side Events,,0
17-844,Outreach,Events/Conference Attendance & Side Events,,0
17-845,Outreach,Events/Conference Attendance & Side Events,,0
17-849,Outreach,Events/Conference Attendance & Side Events,,0
17-869,Outreach,Events/Conference Attendance & Side Events,,0
17-870,Outreach,Events/Conference Attendance & Side Events,,0
17-872,Outreach,Events/Conference Attendance & Side Events,,0
17-874,Outreach,Events/Conference Attendance & Side Events,,0
17-875,Outreach,Events/Conference Attendance & Side Events,,0
17-876,Outreach,Events/Conference Attendance & Side Events,,0
17-877,Outreach,Events/Conference Attendance & Side Events,,0
17-878,Outreach,Events/Conference Attendance & Side Events,,0
17-880,Outreach,Events/Conference Attendance & Side Events,,0
17-881,Outreach,Events/Conference Attendance & Side Events,,0
17-882,Outreach,Events/Conference Attendance & Side Events,,0
17-883,Outreach,Events/Conference Attendance & Side Events,,0
17-884,Outreach,Events/Conference Attendance & Side Events,,0
17-885,Outreach,Events/Conference Attendance & Side Events,,0
17-886,Outreach,Events/Conference Attendance & Side Events,,0
17-887,Outreach,Events/Conference Attendance & Side Events,,0
17-889,Outreach,Events/Conference Attendance & Side Events,,0
17-890,Outreach,Events/Conference Attendance & Side Events,,0
17-891,Outreach,Events/Conference Attendance & Side Events,,0
17-892,Outreach,Events/Conference Attendance & Side Events,,0
17-893,Outreach,Events/Conference Attendance & Side Events,,0
17-970,Outreach,Events/Conference Attendance & Side Events,,0
17-971,Outreach,Events/Conference Attendance & Side Events,,0
17-1009,Outreach,Events/Conference Attendance & Side Events,,0
17-1010,Outreach,Events/Conference Attendance & Side Events,,0
17-1011,Outreach,Events/Conference Attendance & Side Events,,0
17-1012,Outreach,Events/Conference Attendance & Side Events,,0
43-1971,Talent & Education,PBA,,0
17-1013,Outreach,Events/Conference Attendance & Side Events,,0
17-1017,Outreach,Events/Conference Attendance & Side Events,,0
17-1071,Outreach,Events/Conference Attendance & Side Events,,0
17-1072,Outreach,Events/Conference Attendance & Side Events,,0
17-1073,Outreach,Events/Conference Attendance & Side Events,,0
17-1074,Outreach,Events/Conference Attendance & Side Events,,0
17-1075,Outreach,Events/Conference Attendance & Side Events,,0
17-1084,Outreach,Events/Conference Attendance & Side Events,,0
