Extrinsic ID,Date,Block,Hash,Symbol,From,To,Value,Result,year-month,quarter
9232503-0,2025-07-08 12:52:24,9232503,0xdebe2d5a9af10c55ceaa821a4362737b58c4ad2a85ad9bdf46e21533f418c4b5,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,167tDhLwaQ6kmqau1zwWx48Ux7CS1rxC9jW5kn8PeRZWAVUy,1029730,TRUE,2025-07,2025-Q3
9244941-0,2025-07-10 06:52:42,9244941,0xeed57644fc29a4d4b1d3dec3d505be35f98936ab8dae075748df5a959b2905aa,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1vfmouKGWQEJSpUWRqYrYLZ865ps6M7TDSu5kgfSV6tPxLf,250,TRUE,2025-07,2025-Q3
9249104-0,2025-07-10 20:59:30,9249104,0x422ffad561ee94a7ad62d072f5934d844e5489587997541bdb05237d5886fea2,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12gMhxHw8QjEwLQvnqsmMVY1z5gFa54vND74aMUbhhwN6mJR,7575.654,TRUE,2025-07,2025-Q3
9375314-0,2025-07-29 03:47:54,9375314,0xebcf4f4f0cc8d08904df7b7cfbdaf711212b3170f79f416803fbe0a1ab63c78e,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12BJTP99gUerdvBhPobiTvrWwRaj1i5eFHN9qx51JWgrBtmv,376300,TRUE,2025-07,2025-Q3
9391848-0,2025-07-31 14:31:30,9391848,0x6a423bbb1b71b4d8ac319a7d918855c15f507fa57ec5d05a36a29b4f12c63951,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14QhzKsxmrECK8EDpLzzep8tWcYMUPYfXGfmgqM8cVtYRJjJ,2400,TRUE,2025-07,2025-Q3
9431044-0,2025-08-06 10:13:36,9431044,0x9002aedd12d687d22d803210bb9dce85dcdf6df90f1976e21b037b70cc6174d6,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16W7xmgxqZr7n1eqt6acZ8TtAbXybJZi3k51y4qDCjzgVY4j,729298,TRUE,2025-08,2025-Q3
9445659-0,2025-08-08 14:00:24,9445659,0xa07c9ee64fa45a8513e0f5b5000d92907840bfe0b169406e47462fbaa879f239,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15xjuCebCEYgd2otULLFqzXDNcfrErm9hyi3tMoXBvTFERtF,250000,TRUE,2025-08,2025-Q3
9601824-0,2025-09-01 07:57:54,9601824,0x1b59cd9dced77c5f13915b765d99bb0adc6509a3b57e0ba71a866cbfbd4670a7,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1BnHPJkRY3cvdG85CpNzqmRs5UdzJLMguvmK2GRJj5kqB38,160746,TRUE,2025-09,2025-Q3
9608370-0,2025-09-02 08:11:30,9608370,0x67f6a1303c9516ba2d5c98c43e3ebf3cc50ef5cb64a9d03b1f019f00e18399d1,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,167tDhLwaQ6kmqau1zwWx48Ux7CS1rxC9jW5kn8PeRZWAVUy,35700,TRUE,2025-09,2025-Q3
9728702-0,2025-09-21 10:26:12,9728702,0xa04bb2dcf6b5d405f90be17460eff25b12db6a52fea4baf3740cf8f096111ecf,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15rRwaS5RjZUuCcy3uE8H9CSbjbibZUnVApjZcApxTypAfah,184665,TRUE,2025-09,2025-Q3
